"0","seller@seller.com","pbkdf2:sha256:600000$y3bzZQwqne0JF1tm$ee43c2904c79995a8c7e9ddafd6aa7212e7da85ac3057bf7b2105f7c8833f3bf","Seller","Seller","123 Towerview St, Durham, NC 27708","True","500.0"
"1","buyer@buyer.com","pbkdf2:sha256:600000$jnFa0FZ5tf2KiApM$f5afa7d9a6d18d69754267517810829739e6b0fa637dcfac2a863e632d165929","Buyer","Buyer","","False","1000.0"
"2","tamaramorrison@hotmail.com","pbkdf2:sha256:600000$Gcy7wXKXksOAbgO8$2e607d72fd112a7ea9e73c60cd168718b87ba1847cbd7b6c2ef2179717b4aeb9","Gary","Cross","9342 Lori Bypass Suite 711, East Sandra, MP 11019","False","708.08"
"3","qoliver@gmail.com","pbkdf2:sha256:600000$ptlq1CDAPbcIM9MO$c6b96586dbe54120752fd41ac7b652efd8242e8b25cd82c71077fe0b9dbaf651","Madison","Zuniga","6208 Williams Courts Suite 345, Masseyshire, GA 91949","False","622.78"
"4","valeriemorales@hotmail.com","pbkdf2:sha256:600000$0o896vCeso7OPNya$398b12feb8baa14c9e4e793d55128fcc6eafbe873cbf466d0f59feeaabc02e55","Shane","Bradley","08913 Charlene Flat, Joshuaburgh, CT 62839","False","319.07"
"5","zrogers@yahoo.com","pbkdf2:sha256:600000$PVQsKQGYiBN7xyea$037164f50c8138dff6be8db3b50add50e602c70e9a09ae3e54c8b010b3d109e1","Lauren","Ward","0452 Courtney Lane Apt. 113, North Paul, CT 52118","False","486.86"
"6","taguilar@hotmail.com","pbkdf2:sha256:600000$66qHO40fVcqZXNyI$6275d388e348cd89b1235ee4eef7a58832cbc79dbc31b974a576fb6ec3f21495","Jared","Frazier","013 Billy Bridge, Riveraburgh, AS 20007","False","365.89"
"7","vmendez@hotmail.com","pbkdf2:sha256:600000$LwlSvY3x3Awpifqg$2f28135d639977e08f06fe258be378cdde8860afc02e48ded9c400658f1eecee","Sharon","Love","Unit 9426 Box 4183, DPO AE 51884","False","677.25"
"8","adkinskelly@hotmail.com","pbkdf2:sha256:600000$XZ5HDrpagfOGEVdc$ce7df1a71494a7bde29210039d4fb48bba9a8ee6de22103100f253ba2d473a39","Jason","Crawford","USNS Villarreal, FPO AE 60013","False","431.02"
"9","granthaley@hotmail.com","pbkdf2:sha256:600000$Sbslr5PG84zmTRLC$0d80e8f2ac3722035de4f91bf7607bc7244fe6abcfb7f603dce08fee0bed6d17","Alejandra","Hayden","PSC 2662, Box 3758, APO AE 47079","False","49.58"
"10","amandajenkins@hotmail.com","pbkdf2:sha256:600000$LAxi0IOGkjAO7vpG$3f0b907951ca678f7da829ebdbfddeb74bbfacecba4f88f20bc88f119b89ff12","Paul","Gomez","7592 David Crest Suite 697, New Elizabeth, MI 83353","False","356.44"
"11","lbentley@hotmail.com","pbkdf2:sha256:600000$u7kZYzeUYZxP8GHs$6096cc08a015ac780d6a9bd8907fe9d0d73265977c240ccbc179b1edb5893939","Laura","Lee","PSC 0312, Box 5023, APO AP 39498","False","282.48"
"12","hstevens@gmail.com","pbkdf2:sha256:600000$602LtKVVjtcQ02Ib$4cf2f32ee48763f6c4002a4f0cd953774f52357c5db925ba0dde476ef3a79dd1","Christine","Warren","3791 Hansen Village, Williamsburgh, IA 64728","False","180.63"
"13","derricksmith@hotmail.com","pbkdf2:sha256:600000$KOykchjWNRdWRH82$aedbb3ad83b6b1bbb4e62d4b543706dc33422f487a8e8439b77f723b39e41cc0","Zachary","Smith","62281 Kathy Tunnel, Hudsonborough, IA 96519","False","997.13"
"14","allenalexander@hotmail.com","pbkdf2:sha256:600000$cjXoqpLiNdY5X4EQ$18f06df286925256b79ed6692b335cf37672e68cd9911980d83674fed0cc8bc9","Daniel","Edwards","6237 Thomas Inlet, Lake Mark, WY 98452","False","765.03"
"15","powelltyler@gmail.com","pbkdf2:sha256:600000$qWSmj4ey01fhrMIt$2c0fc2df77e0076dd18ca03026ba7d28b14d04eebdf5f1a9dadf42c4ab780d68","Heather","Powers","9438 Hughes Village, Jasonshire, MA 32305","False","251.29"
"16","allison23@hotmail.com","pbkdf2:sha256:600000$p0YyhYEmfu3FGR0d$3e66c1a45c958da6777a26623479074474bf1af5b2ebe8bbf72b1c8768e18789","Justin","Branch","39342 Miller Mission Apt. 781, East Scott, CA 56435","False","306.45"
"17","kimberly87@gmail.com","pbkdf2:sha256:600000$p9gcrfYmPV5eXYk3$3ca87ebb2043f0987c1cd98566a20f1fa0d73ef8753c8f712c28ce6d7d9db5ca","Kyle","Powell","PSC 8209, Box 2805, APO AE 25783","False","505.75"
